id	caption	file_name	clip_score
70	A city at night with people walking around.	COCO_val2014_000000227049.jpg	0.2865790128707886
277	The large clock was prominently displaying the time.	COCO_val2014_000000288229.jpg	0.3043450713157654
310	A person in winter gear riding a snowboard.	COCO_val2014_000000132510.jpg	0.33562177419662476
392	A small bird is perched on an empty bird feeder.	COCO_val2014_000000412355.jpg	0.3106246888637543
414	Baseballs players sliding to base and jumping during the game.	COCO_val2014_000000091495.jpg	0.28703710436820984
639	A woman playing tennis in a white outfit	COCO_val2014_000000411768.jpg	0.3023560345172882
689	A woman looking at her phone next to a car being towed.	COCO_val2014_000000038031.jpg	0.30055007338523865
699	A man in a wheelchair and another sitting on a bench that is overlooking the water.	COCO_val2014_000000071988.jpg	0.34000566601753235
748	Rows of motor bikes and helmets in a city	COCO_val2014_000000459912.jpg	0.3453204333782196
939	A random plane in the sky flying alone	COCO_val2014_000000226419.jpg	0.21490952372550964
1063	A large clock tower rises up above the surrounding buildings.	COCO_val2014_000000129159.jpg	0.3094327449798584
1072	A boy and two females standing in a circle playing tennis.	COCO_val2014_000000306073.jpg	0.2501943111419678
1159	A man holding one water ski at the lake.	COCO_val2014_000000128675.jpg	0.34064990282058716
1175	A clock outside in front of some buildings.	COCO_val2014_000000533537.jpg	0.33788588643074036
1241	A bedroom that looks like a hotel room includes a television and bed.	COCO_val2014_000000555905.jpg	0.29966503381729126
1258	A young man in a white shirt is playing tennis.	COCO_val2014_000000056592.jpg	0.3214968740940094
1359	A yellow fire hydrant in front of a bike leaning against four poles	COCO_val2014_000000078488.jpg	0.34972208738327026
1375	A parakeet perching atop a pair of used Vans shoes.	COCO_val2014_000000281148.jpg	0.34753477573394775
1403	There are several people walking in a street parade.	COCO_val2014_000000573349.jpg	0.29584214091300964
1452	Boats floating close together in a calm body of water.	COCO_val2014_000000041924.jpg	0.26104432344436646
1473	A very neat living room with the television on.	COCO_val2014_000000237767.jpg	0.2757222652435303
1517	An uncut pizza sits on a serving plate	COCO_val2014_000000419860.jpg	0.28899112343788147
1637	A door with a sticker of a cat door on it	COCO_val2014_000000141172.jpg	0.3249024748802185
1809	A woman serving the tennis ball on the court	COCO_val2014_000000010216.jpg	0.30666130781173706
1823	A group of people ski and snowboard together	COCO_val2014_000000286036.jpg	0.30151134729385376
1850	The dog is laying in the green grass with a red frisbee.	COCO_val2014_000000408008.jpg	0.33198943734169006
1962	Two giraffes leaning over a fence to eat leaves.	COCO_val2014_000000422253.jpg	0.35338643193244934
1990	A heavy old truck sits in the dirt.	COCO_val2014_000000428175.jpg	0.2904894948005676
2472	A teddy bear is propped up to look like it is reading a book.	COCO_val2014_000000434672.jpg	0.3115093410015106
2655	Riding a motorcycle down a street that has no one else on it.	COCO_val2014_000000107960.jpg	0.301800400018692
2733	An outdoor garden with a brick wall behind it and many plants in pots.	COCO_val2014_000000038823.jpg	0.3327726721763611
2734	An all white kitchen with an electric stovetop.	COCO_val2014_000000109976.jpg	0.27709314227104187
2789	A person in yellow pants and a blue shirt carries skis up a snowy mountain.	COCO_val2014_000000365983.jpg	0.3183172047138214
3001	A fighter jet is flying at a fast speed.	COCO_val2014_000000232223.jpg	0.3022269904613495
3042	A wooden park bench placed up against a tree.	COCO_val2014_000000313156.jpg	0.3191128075122833
3150	A man in a tie waits in a room full of people.	COCO_val2014_000000367578.jpg	0.28145191073417664
3381	A purse sits on a counter in a kitchen.	COCO_val2014_000000118625.jpg	0.2896161675453186
3495	Two trains running along a set of tracks.	COCO_val2014_000000112232.jpg	0.25574570894241333
4176	A large white public bus parked on the street.	COCO_val2014_000000069391.jpg	0.33413615822792053
4207	A couple of glazed donuts on a plate.	COCO_val2014_000000025751.jpg	0.3246503174304962
4235	Two men are riding an elephant, a driver and a passenger.	COCO_val2014_000000164594.jpg	0.3430631160736084
4641	A woman making some food inside her kitchen.	COCO_val2014_000000256343.jpg	0.26763078570365906
4797	A group of friends sitting inside their living room.	COCO_val2014_000000435807.jpg	0.3074604868888855
4897	A group of travelers at the airport station.	COCO_val2014_000000472376.jpg	0.31958603858947754
5018	A boat that looks like a car moves through the water.	COCO_val2014_000000005394.jpg	0.3194391429424286
5306	A man pointing at a hand held pizza.	COCO_val2014_000000384416.jpg	0.2883470356464386
5400	Heavy snow covers a picnic bench next to a tree.	COCO_val2014_000000455044.jpg	0.31307750940322876
5446	An orange cat is laying on the couch.	COCO_val2014_000000159170.jpg	0.2957751452922821
5537	Women father around a desk and machinery in a factory.	COCO_val2014_000000475593.jpg	0.2669960856437683
5834	A young boy doing a trick on a skateboard	COCO_val2014_000000134198.jpg	0.3318186104297638
